DATE,GDPDEF_NBD20090101
1947-01-01,12.59265
1947-04-01,12.77270
1947-07-01,12.98749
1947-10-01,13.30757
1948-01-01,13.41286
1948-04-01,13.53395
1948-07-01,13.78454
1948-10-01,13.82665
1949-01-01,13.75295
1949-04-01,13.61502
1949-07-01,13.55290
1949-10-01,13.55395
1950-01-01,13.53289
1950-04-01,13.57922
1950-07-01,13.87403
1950-10-01,14.13515
1951-01-01,14.64475
1951-04-01,14.74267
1951-07-01,14.75110
1951-10-01,14.91956
1952-01-01,14.91219
1952-04-01,14.93009
1952-07-01,15.09750
1952-10-01,15.13856
1953-01-01,15.14172
1953-04-01,15.17120
1953-07-01,15.23543
1953-10-01,15.26386
1954-01-01,15.31229
1954-04-01,15.32598
1954-07-01,15.34598
1954-10-01,15.38810
1955-01-01,15.45970
1955-04-01,15.52392
1955-07-01,15.63237
1955-10-01,15.78820
1956-01-01,15.94508
1956-04-01,16.03984
1956-07-01,16.24095
1956-10-01,16.30622
1957-01-01,16.53049
1957-04-01,16.64631
1957-07-01,16.74528
1957-10-01,16.75686
1958-01-01,16.93796
1958-04-01,16.98745
1958-07-01,17.09063
1958-10-01,17.17171
1959-01-01,17.21172
1959-04-01,17.23804
1959-07-01,17.30437
1959-10-01,17.37176
1960-01-01,17.44230
1960-04-01,17.48547
1960-07-01,17.54654
1960-10-01,17.59813
1961-01-01,17.63603
1961-04-01,17.67710
1961-07-01,17.72237
1961-10-01,17.77818
1962-01-01,17.86978
1962-04-01,17.89821
1962-07-01,17.93611
1962-10-01,17.97296
1963-01-01,18.05193
1963-04-01,18.08352
1963-07-01,18.10773
1963-10-01,18.25409
1964-01-01,18.31199
1964-04-01,18.35411
1964-07-01,18.42781
1964-10-01,18.51099
1965-01-01,18.60470
1965-04-01,18.68998
1965-07-01,18.76158
1965-10-01,18.89109
1966-01-01,19.01217
1966-04-01,19.16800
1966-07-01,19.35331
1966-10-01,19.51546
1967-01-01,19.59653
1967-04-01,19.69655
1967-07-01,19.88502
1967-10-01,20.10613
1968-01-01,20.32935
1968-04-01,20.54308
1968-07-01,20.74524
1968-10-01,21.03795
1969-01-01,21.25484
1969-04-01,21.52544
1969-07-01,21.82762
1969-10-01,22.10874
1970-01-01,22.42040
1970-04-01,22.73311
1970-07-01,22.91947
1970-10-01,23.22271
1971-01-01,23.57543
1971-04-01,23.88498
1971-07-01,24.12820
1971-10-01,24.32930
1972-01-01,24.69887
1972-04-01,24.85259
1972-07-01,25.09055
1972-10-01,25.41063
1973-01-01,25.70334
1973-04-01,26.09817
1973-07-01,26.60672
1973-10-01,27.13633
1974-01-01,27.64909
1974-04-01,28.30189
1974-07-01,29.13157
1974-10-01,29.98863
1975-01-01,30.66985
1975-04-01,31.12576
1975-07-01,31.67537
1975-10-01,32.20498
1976-01-01,32.54612
1976-04-01,32.87357
1976-07-01,33.29894
1976-10-01,33.89488
1977-01-01,34.44133
1977-04-01,34.92672
1977-07-01,35.35209
1977-10-01,36.11544
1978-01-01,36.64084
1978-04-01,37.34101
1978-07-01,37.97486
1978-10-01,38.75295
1979-01-01,39.45839
1979-04-01,40.42495
1979-07-01,41.30938
1979-10-01,42.07589
1980-01-01,42.95927
1980-04-01,43.98164
1980-07-01,44.96399
1980-10-01,46.13587
1981-01-01,47.35091
1981-04-01,48.28904
1981-07-01,49.19769
1981-10-01,50.04843
1982-01-01,50.73703
1982-04-01,51.39614
1982-07-01,52.12475
1982-10-01,52.66488
1983-01-01,53.06288
1983-04-01,53.45666
1983-07-01,54.02523
1983-10-01,54.43480
1984-01-01,54.98547
1984-04-01,55.45612
1984-07-01,55.94887
1984-10-01,56.36792
1985-01-01,56.92491
1985-04-01,57.29132
1985-07-01,57.63667
1985-10-01,57.95885
1986-01-01,58.24735
1986-04-01,58.46846
1986-07-01,58.70746
1986-10-01,59.02754
1987-01-01,59.40238
1987-04-01,59.81406
1987-07-01,60.26680
1987-10-01,60.74693
1988-01-01,61.22284
1988-04-01,61.81878
1988-07-01,62.55791
1988-10-01,63.09910
1989-01-01,63.75611
1989-04-01,64.43523
1989-07-01,64.90587
1989-10-01,65.36809
1990-01-01,66.07353
1990-04-01,66.81372
1990-07-01,67.38650
1990-10-01,67.88768
1991-01-01,68.55311
1991-04-01,69.05639
1991-07-01,69.59548
1991-10-01,70.00927
1992-01-01,70.26933
1992-04-01,70.69154
1992-07-01,71.03689
1992-10-01,71.52544
1993-01-01,71.92659
1993-04-01,72.35407
1993-07-01,72.78470
1993-10-01,73.18165
1994-01-01,73.53121
1994-04-01,73.88603
1994-07-01,74.31035
1994-10-01,74.71361
1995-01-01,75.11792
1995-04-01,75.47907
1995-07-01,75.85074
1995-10-01,76.21610
1996-01-01,76.58356
1996-04-01,76.90048
1996-07-01,77.15212
1996-10-01,77.56486
1997-01-01,78.02708
1997-04-01,78.18502
1997-07-01,78.52405
1997-10-01,78.78201
1998-01-01,78.89677
1998-04-01,79.08314
1998-07-01,79.42322
1998-10-01,79.64223
1999-01-01,79.94230
1999-04-01,80.23185
1999-07-01,80.50665
1999-10-01,80.93940
2000-01-01,81.49006
2000-04-01,81.98387
2000-07-01,82.45136
2000-10-01,82.88726
2001-01-01,83.39370
2001-04-01,83.89804
2001-07-01,84.23602
2001-10-01,84.51398
2002-01-01,84.79300
2002-04-01,85.09623
2002-07-01,85.48897
2002-10-01,85.97330
2003-01-01,86.36392
2003-04-01,86.61767
2003-07-01,87.08726
2003-10-01,87.60213
2004-01-01,88.25387
2004-04-01,88.97406
2004-07-01,89.55526
2004-10-01,90.24596
2005-01-01,90.96087
2005-04-01,91.59788
2005-07-01,92.42651
2005-10-01,93.16985
2006-01-01,93.82054
2006-04-01,94.60495
2006-07-01,95.26723
2006-10-01,95.61889
2007-01-01,96.55913
2007-04-01,97.18350
2007-07-01,97.68363
2007-10-01,98.07214
2008-01-01,98.43434
2008-04-01,98.96184
2008-07-01,99.69887
2008-10-01,100.01053
2009-01-01,100.00000
2009-04-01,99.85470
2009-07-01,99.95999
2009-10-01,100.29797
2010-01-01,100.55067
2010-04-01,101.01815
2010-07-01,101.31191
2010-10-01,101.88153
2011-01-01,102.42903
2011-04-01,103.10184
2011-07-01,103.76621
2011-10-01,103.92415
2012-01-01,104.57379
2012-04-01,104.98758
2012-07-01,105.52666
2012-10-01,106.06574
2013-01-01,106.48901
2013-04-01,106.79645
2013-07-01,107.30921
2013-10-01,107.93990
2014-01-01,108.38212
2014-04-01,108.98753
2014-07-01,109.45607
2014-10-01,109.63085
2015-01-01,109.59611
2015-04-01,110.21205
2015-07-01,110.60478
2015-10-01,110.60584
2016-01-01,110.49212
2016-04-01,111.24600
2016-07-01,111.65242
2016-10-01,112.18729
2017-01-01,112.72111
2017-04-01,113.09278
2017-07-01,113.68451
2017-10-01,114.46365
2018-01-01,115.13961
2018-04-01,116.11460
2018-07-01,116.62631
2018-10-01,117.14117
2019-01-01,117.36965
2019-04-01,118.12247
2019-07-01,118.62365
2019-10-01,119.06482
