DATE,M1
2006-01-02,1375.5
2006-01-09,1372.0
2006-01-16,1375.8
2006-01-23,1383.1
2006-01-30,1389.8
2006-02-06,1369.2
2006-02-13,1368.6
2006-02-20,1383.3
2006-02-27,1393.0
2006-03-06,1366.2
2006-03-13,1371.0
2006-03-20,1387.9
2006-03-27,1394.8
2006-04-03,1401.4
2006-04-10,1375.7
2006-04-17,1379.4
2006-04-24,1388.1
2006-05-01,1372.5
2006-05-08,1373.8
2006-05-15,1389.4
2006-05-22,1394.8
2006-05-29,1397.9
2006-06-05,1369.1
2006-06-12,1367.7
2006-06-19,1370.9
2006-06-26,1383.6
2006-07-03,1390.5
2006-07-10,1372.4
2006-07-17,1359.2
2006-07-24,1377.5
2006-07-31,1372.9
2006-08-07,1357.2
2006-08-14,1364.8
2006-08-21,1382.8
2006-08-28,1384.0
2006-09-04,1373.8
2006-09-11,1365.4
2006-09-18,1357.6
2006-09-25,1364.9
2006-10-02,1364.3
2006-10-09,1368.1
2006-10-16,1360.6
2006-10-23,1380.3
2006-10-30,1376.4
2006-11-06,1351.1
2006-11-13,1361.3
2006-11-20,1380.2
2006-11-27,1386.4
2006-12-04,1374.1
2006-12-11,1360.3
2006-12-18,1359.2
2006-12-25,1380.4
2007-01-01,1361.3
2007-01-08,1355.7
2007-01-15,1382.9
2007-01-22,1373.2
2007-01-29,1377.0
2007-02-05,1369.9
2007-02-12,1361.7
2007-02-19,1361.7
2007-02-26,1362.0
2007-03-05,1358.6
2007-03-12,1363.5
2007-03-19,1360.2
2007-03-26,1373.6
2007-04-02,1377.5
2007-04-09,1379.6
2007-04-16,1374.5
2007-04-23,1375.7
2007-04-30,1382.5
2007-05-07,1367.2
2007-05-14,1382.3
2007-05-21,1384.1
2007-05-28,1388.5
2007-06-04,1384.6
2007-06-11,1370.7
2007-06-18,1356.3
2007-06-25,1362.9
2007-07-02,1375.8
2007-07-09,1370.5
2007-07-16,1373.5
2007-07-23,1373.2
2007-07-30,1370.4
2007-08-06,1359.9
2007-08-13,1364.1
2007-08-20,1372.8
2007-08-27,1385.6
2007-09-03,1412.6
2007-09-10,1382.1
2007-09-17,1373.5
2007-09-24,1365.4
2007-10-01,1364.1
2007-10-08,1376.8
2007-10-15,1382.9
2007-10-22,1383.1
2007-10-29,1379.7
2007-11-05,1369.6
2007-11-12,1367.8
2007-11-19,1367.2
2007-11-26,1374.5
2007-12-03,1384.8
2007-12-10,1377.6
2007-12-17,1365.1
2007-12-24,1378.1
2007-12-31,1367.9
2008-01-07,1367.3
2008-01-14,1370.2
2008-01-21,1390.0
2008-01-28,1379.6
2008-02-04,1386.1
2008-02-11,1374.4
2008-02-18,1375.0
2008-02-25,1376.9
2008-03-03,1401.0
2008-03-10,1391.3
2008-03-17,1381.5
2008-03-24,1387.1
2008-03-31,1389.7
2008-04-07,1374.2
2008-04-14,1389.2
2008-04-21,1403.8
2008-04-28,1397.7
2008-05-05,1393.5
2008-05-12,1392.0
2008-05-19,1385.7
2008-05-26,1394.0
2008-06-02,1405.2
2008-06-09,1410.9
2008-06-16,1403.7
2008-06-23,1398.9
2008-06-30,1404.6
2008-07-07,1412.6
2008-07-14,1421.5
2008-07-21,1426.9
2008-07-28,1422.3
2008-08-04,1423.5
2008-08-11,1412.7
2008-08-18,1394.4
2008-08-25,1404.9
2008-09-01,1408.4
2008-09-08,1423.9
2008-09-15,1437.0
2008-09-22,1490.1
2008-09-29,1504.6
2008-10-06,1461.0
2008-10-13,1464.9
2008-10-20,1457.4
2008-10-27,1483.7
2008-11-03,1520.0
2008-11-10,1505.5
2008-11-17,1506.8
2008-11-24,1518.3
2008-12-01,1527.2
2008-12-08,1590.0
2008-12-15,1612.0
2008-12-22,1610.2
2008-12-29,1597.3
2009-01-05,1629.7
2009-01-12,1609.5
2009-01-19,1561.1
2009-01-26,1555.1
2009-02-02,1567.4
2009-02-09,1575.7
2009-02-16,1565.0
2009-02-23,1558.9
2009-03-02,1570.1
2009-03-09,1583.8
2009-03-16,1575.7
2009-03-23,1575.1
2009-03-30,1572.3
2009-04-06,1655.6
2009-04-13,1604.1
2009-04-20,1595.4
2009-04-27,1598.0
2009-05-04,1611.3
2009-05-11,1617.5
2009-05-18,1617.1
2009-05-25,1623.4
2009-06-01,1615.5
2009-06-08,1650.5
2009-06-15,1659.5
2009-06-22,1671.6
2009-06-29,1660.7
2009-07-06,1653.2
2009-07-13,1663.9
2009-07-20,1662.6
2009-07-27,1659.2
2009-08-03,1679.3
2009-08-10,1669.5
2009-08-17,1668.9
2009-08-24,1649.2
2009-08-31,1644.2
2009-09-07,1660.5
2009-09-14,1674.9
2009-09-21,1662.9
2009-09-28,1662.1
2009-10-05,1662.2
2009-10-12,1674.6
2009-10-19,1680.9
2009-10-26,1685.4
2009-11-02,1682.6
2009-11-09,1680.4
2009-11-16,1680.8
2009-11-23,1683.0
2009-11-30,1688.2
2009-12-07,1684.8
2009-12-14,1691.1
2009-12-21,1698.6
2009-12-28,1690.1
2010-01-04,1708.6
2010-01-11,1665.4
2010-01-18,1669.7
2010-01-25,1672.6
2010-02-01,1670.9
2010-02-08,1688.6
2010-02-15,1717.2
2010-02-22,1702.1
2010-03-01,1694.9
2010-03-08,1704.2
2010-03-15,1722.9
2010-03-22,1722.2
2010-03-29,1708.3
2010-04-05,1686.0
2010-04-12,1697.7
2010-04-19,1699.4
2010-04-26,1692.3
2010-05-03,1728.3
2010-05-10,1710.7
2010-05-17,1702.8
2010-05-24,1707.5
2010-05-31,1711.5
2010-06-07,1717.9
2010-06-14,1722.3
2010-06-21,1741.3
2010-06-28,1748.3
2010-07-05,1719.3
2010-07-12,1722.3
2010-07-19,1718.8
2010-07-26,1730.6
2010-08-02,1729.2
2010-08-09,1743.4
2010-08-16,1742.2
2010-08-23,1757.4
2010-08-30,1757.3
2010-09-06,1749.5
2010-09-13,1768.6
2010-09-20,1769.6
2010-09-27,1770.2
2010-10-04,1776.2
2010-10-11,1789.5
2010-10-18,1776.5
2010-10-25,1789.5
2010-11-01,1766.4
2010-11-08,1867.7
2010-11-15,1802.0
2010-11-22,1819.0
2010-11-29,1836.1
2010-12-06,1812.3
2010-12-13,1829.0
2010-12-20,1840.8
2010-12-27,1853.6
2011-01-03,1849.9
2011-01-10,1834.5
2011-01-17,1858.3
2011-01-24,1854.1
2011-01-31,1868.8
2011-02-07,1850.4
2011-02-14,1859.1
2011-02-21,1885.8
2011-02-28,1895.2
2011-03-07,1875.6
2011-03-14,1889.6
2011-03-21,1901.2
2011-03-28,1897.1
2011-04-04,1895.4
2011-04-11,1896.4
2011-04-18,1892.8
2011-04-25,1902.2
2011-05-02,1920.6
2011-05-09,1928.1
2011-05-16,1930.7
2011-05-23,1942.2
2011-05-30,1956.5
2011-06-06,1936.0
2011-06-13,1951.5
2011-06-20,1961.5
2011-06-27,1959.4
2011-07-04,1985.7
2011-07-11,1983.7
2011-07-18,1975.8
2011-07-25,2001.2
2011-08-01,2063.5
2011-08-08,2094.4
2011-08-15,2109.1
2011-08-22,2136.0
2011-08-29,2122.4
2011-09-05,2110.1
2011-09-12,2118.7
2011-09-19,2120.9
2011-09-26,2128.0
2011-10-03,2176.7
2011-10-10,2150.8
2011-10-17,2128.2
2011-10-24,2126.6
2011-10-31,2136.2
2011-11-07,2147.3
2011-11-14,2171.9
2011-11-21,2179.4
2011-11-28,2171.2
2011-12-05,2158.5
2011-12-12,2165.7
2011-12-19,2149.8
2011-12-26,2156.3
2012-01-02,2199.2
2012-01-09,2199.3
2012-01-16,2198.1
2012-01-23,2207.4
2012-01-30,2204.3
2012-02-06,2197.3
2012-02-13,2211.8
