DATE,M2SL_NBD20090101
1959-01-01,3.46873
1959-02-01,3.48204
1959-03-01,3.50019
1959-04-01,3.51109
1959-05-01,3.53650
1959-06-01,3.55950
1959-07-01,3.57281
1959-08-01,3.58734
1959-09-01,3.59097
1959-10-01,3.58855
1959-11-01,3.59581
1959-12-01,3.60428
1960-01-01,3.60912
1960-02-01,3.61275
1960-03-01,3.62364
1960-04-01,3.63212
1960-05-01,3.64180
1960-06-01,3.65874
1960-07-01,3.68053
1960-08-01,3.71442
1960-09-01,3.73257
1960-10-01,3.74588
1960-11-01,3.76283
1960-12-01,3.78098
1961-01-01,3.80156
1961-02-01,3.83061
1961-03-01,3.85239
1961-04-01,3.87176
1961-05-01,3.89959
1961-06-01,3.92501
1961-07-01,3.94074
1961-08-01,3.96495
1961-09-01,3.98795
1961-10-01,4.00731
1961-11-01,4.03515
1961-12-01,4.06056
1962-01-01,4.08477
1962-02-01,4.11624
1962-03-01,4.15255
1962-04-01,4.18159
1962-05-01,4.20580
1962-06-01,4.22759
1962-07-01,4.24574
1962-08-01,4.26995
1962-09-01,4.29536
1962-10-01,4.32320
1962-11-01,4.35467
1962-12-01,4.38977
1963-01-01,4.42002
1963-02-01,4.45270
1963-03-01,4.48659
1963-04-01,4.51806
1963-05-01,4.55195
1963-06-01,4.57978
1963-07-01,4.61246
1963-08-01,4.64272
1963-09-01,4.67177
1963-10-01,4.69960
1963-11-01,4.73833
1963-12-01,4.75891
1964-01-01,4.78311
1964-02-01,4.81216
1964-03-01,4.83879
1964-04-01,4.86178
1964-05-01,4.89204
1964-06-01,4.92714
1964-07-01,4.96345
1964-08-01,5.00339
1964-09-01,5.04575
1964-10-01,5.07238
1964-11-01,5.10747
1964-12-01,5.14015
1965-01-01,5.17404
1965-02-01,5.20914
1965-03-01,5.24303
1965-04-01,5.26966
1965-05-01,5.29023
1965-06-01,5.32654
1965-07-01,5.36043
1965-08-01,5.39553
1965-09-01,5.44031
1965-10-01,5.47783
1965-11-01,5.51535
1965-12-01,5.55771
1966-01-01,5.59160
1966-02-01,5.62306
1966-03-01,5.65453
1966-04-01,5.67995
1966-05-01,5.68963
1966-06-01,5.70294
1966-07-01,5.69931
1966-08-01,5.71989
1966-09-01,5.75378
1966-10-01,5.75741
1966-11-01,5.77677
1966-12-01,5.81187
1967-01-01,5.82881
1967-02-01,5.87118
1967-03-01,5.92685
1967-04-01,5.95590
1967-05-01,6.01762
1967-06-01,6.07572
1967-07-01,6.12776
1967-08-01,6.18222
1967-09-01,6.22942
1967-10-01,6.27179
1967-11-01,6.30809
1967-12-01,6.35167
1968-01-01,6.38313
1968-02-01,6.41944
1968-03-01,6.45333
1968-04-01,6.48359
1968-05-01,6.52232
1968-06-01,6.56710
1968-07-01,6.60341
1968-08-01,6.64940
1968-09-01,6.70023
1968-10-01,6.74864
1968-11-01,6.80674
1968-12-01,6.85999
1969-01-01,6.89025
1969-02-01,6.92172
1969-03-01,6.95198
1969-04-01,6.96771
1969-05-01,6.97739
1969-06-01,7.00160
1969-07-01,7.01370
1969-08-01,7.02096
1969-09-01,7.04517
1969-10-01,7.06090
1969-11-01,7.08511
1969-12-01,7.11537
1970-01-01,7.13594
1970-02-01,7.09600
1970-03-01,7.10810
